date,day_idx,bsi_z,move_ma30,sofr,tranche_return,hyg_return,afrm_return,gate_bsi,gate_move,gate_ccd2,approved,trs_cash_carry,trs_financing_drag,trs_mtm_trs,trs_mtm_hedge,trs_transaction_costs,trs_daily_pnl,naive_cash_carry,naive_mtm,naive_tx_costs,naive_htb_fee,naive_daily_pnl
2022-06-13,0,0.443347,112.7750,0.007300,-0.032852,-0.033452,-0.123288,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2022-06-14,1,0.652113,113.3627,0.006900,0.007766,0.006566,-0.012277,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2022-06-15,2,0.174712,113.8273,0.007000,0.019135,0.019435,0.050847,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2022-06-16,3,0.249216,114.3400,0.014500,-0.038365,-0.015865,-0.101075,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2022-06-17,4,-0.021649,114.7510,0.014500,0.003116,0.003116,0.094498,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2022-06-20,5,-0.021649,115.0353,0.014500,0.000000,0.000000,0.000000,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2022-06-21,6,0.216287,115.4403,0.014500,-0.000675,-0.000675,0.049727,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2022-06-22,7,-0.299641,115.8367,0.014500,-0.000270,-0.000270,0.003123,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2022-06-23,8,-0.540725,116.0783,0.014400,0.007464,0.007164,0.124027,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2022-06-24,9,-0.518556,116.4913,0.014600,0.006513,0.007113,0.074792,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
